Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
16,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
17,"System.RuntimeType.IsDefined(class System.Type,bool)",1,1,0.00,0.00,"mscorlib.dll",
3,"BingAnswers.WikiHow..ctor()",1,0,0.00,0.00,"BingAnswers.DLL",
4,"NLog.LogManager.GetCurrentClassLogger()",1,0,0.00,0.00,"NLog.DLL",
5,"NLog.LogFactory.GetLogger(string)",1,0,0.00,0.00,"NLog.DLL",
6,"NLog.LogFactory.GetLogger(class NLog.LogFactory/LoggerCacheKey)",1,0,0.00,0.00,"NLog.DLL",
7,"NLog.LogFactory.GetConfigurationForLogger(string,class NLog.Config.LoggingConfiguration)",1,0,0.00,0.00,"NLog.DLL",
8,"NLog.LogFactory.GetTargetsByLevelForLogger(string,class System.Collections.Generic.IList`1<class NLog.Config.LoggingRule>,class NLog.Internal.TargetWithFilterChain[],class NLog.Internal.TargetWithFilterChain[])",1,0,0.00,0.00,"NLog.DLL",
9,"NLog.Internal.TargetWithFilterChain.PrecalculateStackTraceUsage()",1,0,0.00,0.00,"NLog.DLL",
10,"NLog.Internal.ObjectGraphScanner.FindReachableObjects(object[])",1,0,0.00,0.00,"NLog.DLL",
11,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
12,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
13,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
