Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToNext()",3,0.01,0x134F9CC5,637,13,637,53,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToNext()",1,0.00,0x134F9CB9,639,13,639,25,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToNext()",1,0.00,0x134F9CCD,639,13,639,25,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToNextAttribute()",1,0.00,0x134FA080,649,13,649,66,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToParent()",26,0.10,0x134F9E20,677,13,677,49,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToParent()",5,0.02,0x134F9E24,677,13,677,49,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToParent()",17,0.07,0x134F9E2B,677,13,677,49,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToParent()",2,0.01,0x134F9E30,677,13,677,49,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToParent()",3,0.01,0x134F9E34,680,17,680,30,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToParent()",4,0.02,0x134F9E39,682,13,682,52,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToParent()",7,0.03,0x134F9E3E,682,13,682,52,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToParent()",5,0.02,0x134F9E43,682,13,682,52,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToParent()",2,0.01,0x134F9E37,684,13,684,25,
"HtmlAgilityPack.HtmlNodeNavigator.MoveToParent()",5,0.02,0x134F9E4B,684,13,684,25,
"HtmlAgilityPack.HtmlTextNode..ctor(class HtmlAgilityPack.HtmlDocument,int32)",1,0.00,0x134F7AE1,17,9,19,62,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",17,0.07,0x6DDC843B,"1,863",0,"1,863",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",1,0.00,0x6DDC843D,"1,863",0,"1,863",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",17,0.07,0x6DDC8440,"1,863",0,"1,863",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",68,0.27,0x6DDC8445,"1,872",0,"1,872",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",18,0.07,0x6DDC844B,"1,872",0,"1,872",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",4,0.02,0x6DDC844F,"1,872",0,"1,872",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",1,0.00,0x6DDC8452,"1,872",0,"1,872",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",23,0.09,0x6DDC8455,"1,872",0,"1,872",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",22,0.09,0x6DDC845C,"1,872",0,"1,872",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",1,0.00,0x6DDC8461,"1,872",0,"1,872",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",17,0.07,0x6DDC8463,"1,872",0,"1,872",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",56,0.22,0x6DDC8467,"1,872",0,"1,872",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",24,0.10,0x6DDC84A8,"1,872",0,"1,872",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",3,0.01,0x6DDC84AB,"1,872",0,"1,872",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",1,0.00,0x6DDC846A,"1,874",0,"1,874",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",61,0.24,0x6DDC846D,"1,874",0,"1,874",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",74,0.30,0x6DDC8471,"1,874",0,"1,874",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",30,0.12,0x6DDC84AD,"1,874",0,"1,874",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",42,0.17,0x6DDC84B3,"1,874",0,"1,874",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",1,0.00,0x6DDC84B9,"1,874",0,"1,874",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",18,0.07,0x6DDC8479,"1,877",0,"1,877",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",52,0.21,0x6DDC847C,"1,877",0,"1,877",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",20,0.08,0x6DDC8482,"1,877",0,"1,877",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",4,0.02,0x6DDC8485,"1,877",0,"1,877",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",3,0.01,0x6DDC8489,"1,877",0,"1,877",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",90,0.36,0x6DDC848B,"1,877",0,"1,877",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",15,0.06,0x6DDC848E,"1,877",0,"1,877",0,
"JIT_GetGenericsGCStaticBase(class MethodTable *)",2,0.01,0x6DDC84BF,"1,877",0,"1,877",0,
"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",1,0.00,0x6DDBED0D,"2,899",0,"2,899",0,
"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",4,0.02,0x6DDBED1D,"2,904",0,"2,904",0,
"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",1,0.00,0x6DDBED3B,"2,904",0,"2,904",0,
"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",2,0.01,0x6DDBED42,"2,904",0,"2,904",0,
"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",8,0.03,0x6DDBED4B,"2,904",0,"2,904",0,
"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",18,0.07,0x6DDBED96,"2,922",0,"2,922",0,
"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",23,0.09,0x6DDBEDAB,"2,924",0,"2,924",0,
"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",1,0.00,0x6DDBEDB2,"2,924",0,"2,924",0,
