Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Callee","BingAnswers.Quora.GetQuoraAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","HtmlAgilityPack.HtmlNode.get_InnerText()",1,0,0.00,0.00,
"Callee","BingAnswers.Quora.GetQuoraAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","HtmlAgilityPack.HtmlNode.SelectNodes(string)",603,0,2.40,0.00,
"Root","BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","8,705",563,34.71,2.24,
"Caller","BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","BingAnswers.Quora.GetAnswer(string)","8,677",563,34.60,2.24,
"Callee","BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","__EH_epilog3",1,1,0.00,0.00,
"Callee","BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",23,23,0.09,0.09,
"Callee","BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1..ctor()",294,294,1.17,1.17,
"Callee","BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.Add(!0)","1,116","1,116",4.45,4.45,
"Callee","BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.Enumerator.Dispose()",13,13,0.05,0.05,
"Callee","BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.Enumerator.get_Current()",49,49,0.20,0.20,
"Callee","BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.Enumerator.MoveNext()",677,677,2.70,2.70,
"Callee","BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.get_Count()",15,15,0.06,0.06,
"Callee","BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.GetEnumerator()",730,730,2.91,2.91,
"Callee","BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","System.Threading.Thread.get_IsAlive()","5,217","5,217",20.80,20.80,
"Callee","BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","System.Xml.Serialization.XmlSerializer..ctor(class System.Type)",5,5,0.02,0.02,
"Callee","BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","System.Xml.Serialization.XmlSerializer.Deserialize(class System.Xml.XmlReader)",1,1,0.00,0.00,
"Callee","BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","WKS::GCHeap::Alloc(struct alloc_context *,unsigned int,unsigned long)",1,1,0.00,0.00,
"Root","BingAnswers.Quora.sendBingSearchRequest(string)","BingAnswers.Quora.sendBingSearchRequest(string)",11,0,0.04,0.00,
"Caller","BingAnswers.Quora.sendBingSearchRequest(string)","BingAnswers.Quora.GetAnswer(string)",11,0,0.04,0.00,
"Callee","BingAnswers.Quora.sendBingSearchRequest(string)","BingAnswers.Util.MakeWebRequestStream(string)",11,0,0.04,0.00,
"Root","BingAnswers.Ranker.GetFeatures(class BingAnswers.Answer)","BingAnswers.Ranker.GetFeatures(class BingAnswers.Answer)",1,0,0.00,0.00,
"Caller","BingAnswers.Ranker.GetFeatures(class BingAnswers.Answer)","BingAnswers.YahooAnswers.ParseQuestionResponse(class System.IO.Stream)",1,0,0.00,0.00,
"Callee","BingAnswers.Ranker.GetFeatures(class BingAnswers.Answer)","BingAnswers.Util.CosineDistance(string[],string[])",1,0,0.00,0.00,
"Root","BingAnswers.StackOverflow..ctor()","BingAnswers.StackOverflow..ctor()",4,0,0.02,0.00,
"Caller","BingAnswers.StackOverflow..ctor()","BingAnswers.Answers.Page_Load(object,class System.EventArgs)",4,0,0.02,0.00,
"Callee","BingAnswers.StackOverflow..ctor()","NLog.LogManager.GetCurrentClassLogger()",4,0,0.02,0.00,
"Root","BingAnswers.StackOverflow.<>c__DisplayClass3.<ParseResponse>b__0()","BingAnswers.StackOverflow.<>c__DisplayClass3.<ParseResponse>b__0()",1,0,0.00,0.00,
"Callee","BingAnswers.StackOverflow.<>c__DisplayClass3.<ParseResponse>b__0()","BingAnswers.StackOverflow.FetchAnswer(string,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",1,0,0.00,0.00,
"Root","BingAnswers.StackOverflow.FetchAnswer(string,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","BingAnswers.StackOverflow.FetchAnswer(string,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",1,0,0.00,0.00,
"Caller","BingAnswers.StackOverflow.FetchAnswer(string,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","BingAnswers.StackOverflow.<>c__DisplayClass3.<ParseResponse>b__0()",1,0,0.00,0.00,
"Callee","BingAnswers.StackOverflow.FetchAnswer(string,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","BingAnswers.Util.MakeWebRequest(string)",1,0,0.00,0.00,
"Root","BingAnswers.StackOverflow.GetAnswer(string)","BingAnswers.StackOverflow.GetAnswer(string)",164,2,0.65,0.01,
"Caller","BingAnswers.StackOverflow.GetAnswer(string)","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)",164,2,0.65,0.01,
"Callee","BingAnswers.StackOverflow.GetAnswer(string)","BingAnswers.StackOverflow.ParseResponse(string)",143,16,0.57,0.06,
"Callee","BingAnswers.StackOverflow.GetAnswer(string)","BingAnswers.StackOverflow.SendRequest(string)",8,0,0.03,0.00,
"Callee","BingAnswers.StackOverflow.GetAnswer(string)","JIT_GetGenericsGCStaticBase(class MethodTable *)",8,8,0.03,0.03,
"Callee","BingAnswers.StackOverflow.GetAnswer(string)","ThreadNative::IsAlive(class ThreadBaseObject *)",3,3,0.01,0.01,
"Root","BingAnswers.StackOverflow.ParseResponse(string)","BingAnswers.StackOverflow.ParseResponse(string)",143,16,0.57,0.06,
"Caller","BingAnswers.StackOverflow.ParseResponse(string)","BingAnswers.StackOverflow.GetAnswer(string)",143,16,0.57,0.06,
"Callee","BingAnswers.StackOverflow.ParseResponse(string)","System.Collections.Generic.List`1..ctor()",9,9,0.04,0.04,
"Callee","BingAnswers.StackOverflow.ParseResponse(string)","System.Collections.Generic.List`1.Add(!0)",27,27,0.11,0.11,
"Callee","BingAnswers.StackOverflow.ParseResponse(string)","System.Collections.Generic.List`1.Enumerator.get_Current()",2,2,0.01,0.01,
"Callee","BingAnswers.StackOverflow.ParseResponse(string)","System.Collections.Generic.List`1.Enumerator.MoveNext()",10,10,0.04,0.04,
"Callee","BingAnswers.StackOverflow.ParseResponse(string)","System.Collections.Generic.List`1.GetEnumerator()",10,10,0.04,0.04,
"Callee","BingAnswers.StackOverflow.ParseResponse(string)","System.Threading.Thread.get_IsAlive()",69,69,0.28,0.28,
"Root","BingAnswers.StackOverflow.SendRequest(string)","BingAnswers.StackOverflow.SendRequest(string)",8,0,0.03,0.00,
"Caller","BingAnswers.StackOverflow.SendRequest(string)","BingAnswers.StackOverflow.GetAnswer(string)",8,0,0.03,0.00,
"Callee","BingAnswers.StackOverflow.SendRequest(string)","BingAnswers.Util.MakeWebRequest(string)",8,0,0.03,0.00,
"Root","BingAnswers.TrueKnowledge..ctor()","BingAnswers.TrueKnowledge..ctor()",1,0,0.00,0.00,
"Caller","BingAnswers.TrueKnowledge..ctor()","BingAnswers.Answers.Page_Load(object,class System.EventArgs)",1,0,0.00,0.00,
"Callee","BingAnswers.TrueKnowledge..ctor()","NLog.LogManager.GetCurrentClassLogger()",1,0,0.00,0.00,
"Root","BingAnswers.TrueKnowledge.GetAnswer(string)","BingAnswers.TrueKnowledge.GetAnswer(string)",9,0,0.04,0.00,
"Caller","BingAnswers.TrueKnowledge.GetAnswer(string)","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)",9,0,0.04,0.00,
"Callee","BingAnswers.TrueKnowledge.GetAnswer(string)","BingAnswers.TrueKnowledge.SendRequest(string)",9,0,0.04,0.00,
"Root","BingAnswers.TrueKnowledge.SendRequest(string)","BingAnswers.TrueKnowledge.SendRequest(string)",9,0,0.04,0.00,
"Caller","BingAnswers.TrueKnowledge.SendRequest(string)","BingAnswers.TrueKnowledge.GetAnswer(string)",9,0,0.04,0.00,
"Callee","BingAnswers.TrueKnowledge.SendRequest(string)","BingAnswers.Util.MakeWebRequest(string)",9,0,0.04,0.00,
"Root","BingAnswers.Util.CosineDistance(string[],string[])","BingAnswers.Util.CosineDistance(string[],string[])",1,0,0.00,0.00,
"Caller","BingAnswers.Util.CosineDistance(string[],string[])","BingAnswers.Ranker.GetFeatures(class BingAnswers.Answer)",1,0,0.00,0.00,
"Callee","BingAnswers.Util.CosineDistance(string[],string[])","System.Collections.Generic.Dictionary`2.get_Item(!0)",1,1,0.00,0.00,
"Root","BingAnswers.Util.MakeWebRequest(string)","BingAnswers.Util.MakeWebRequest(string)",28,0,0.11,0.00,
"Caller","BingAnswers.Util.MakeWebRequest(string)","BingAnswers.MSDNForum.SendRequest(string)",3,0,0.01,0.00,
"Caller","BingAnswers.Util.MakeWebRequest(string)","BingAnswers.StackOverflow.FetchAnswer(string,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",1,0,0.00,0.00,
"Caller","BingAnswers.Util.MakeWebRequest(string)","BingAnswers.StackOverflow.SendRequest(string)",8,0,0.03,0.00,
"Caller","BingAnswers.Util.MakeWebRequest(string)","BingAnswers.TrueKnowledge.SendRequest(string)",9,0,0.04,0.00,
"Caller","BingAnswers.Util.MakeWebRequest(string)","BingAnswers.WolframeAlpha.SendRequest(string)",7,0,0.03,0.00,
"Callee","BingAnswers.Util.MakeWebRequest(string)","System.Net.HttpWebRequest.GetResponse()",6,6,0.02,0.02,
"Callee","BingAnswers.Util.MakeWebRequest(string)","System.Net.WebHeaderCollection.Add(string,string)",4,4,0.02,0.02,
"Callee","BingAnswers.Util.MakeWebRequest(string)","System.Net.WebRequest.Create(string)",18,18,0.07,0.07,
"Root","BingAnswers.Util.MakeWebRequestStream(string)","BingAnswers.Util.MakeWebRequestStream(string)",47,0,0.19,0.00,
"Caller","BingAnswers.Util.MakeWebRequestStream(string)","BingAnswers.ehow.sendBingSearchRequest(string)",9,0,0.04,0.00,
"Caller","BingAnswers.Util.MakeWebRequestStream(string)","BingAnswers.Quora.sendBingSearchRequest(string)",11,0,0.04,0.00,
"Caller","BingAnswers.Util.MakeWebRequestStream(string)","BingAnswers.WikiAnswers.GetWikiAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",1,0,0.00,0.00,
"Caller","BingAnswers.Util.MakeWebRequestStream(string)","BingAnswers.WikiAnswers.sendBingSearchRequest(string)",7,0,0.03,0.00,
"Caller","BingAnswers.Util.MakeWebRequestStream(string)","BingAnswers.WikiHow.GetWikihowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",1,0,0.00,0.00,
"Caller","BingAnswers.Util.MakeWebRequestStream(string)","BingAnswers.WikiHow.sendBingSearchRequest(string)",11,0,0.04,0.00,
"Caller","BingAnswers.Util.MakeWebRequestStream(string)","BingAnswers.YahooAnswers.sendRequest(string)",7,0,0.03,0.00,
"Callee","BingAnswers.Util.MakeWebRequestStream(string)","System.Net.HttpWebRequest.GetResponse()",14,14,0.06,0.06,
"Callee","BingAnswers.Util.MakeWebRequestStream(string)","System.Net.WebHeaderCollection.Add(string,string)",6,6,0.02,0.02,
"Callee","BingAnswers.Util.MakeWebRequestStream(string)","System.Net.WebRequest.Create(string)",27,27,0.11,0.11,
"Root","BingAnswers.WikiAnswers.<>c__DisplayClass3.<ParseSearchResult>b__0()","BingAnswers.WikiAnswers.<>c__DisplayClass3.<ParseSearchResult>b__0()",35,0,0.14,0.00,
"Callee","BingAnswers.WikiAnswers.<>c__DisplayClass3.<ParseSearchResult>b__0()","BingAnswers.WikiAnswers.GetWikiAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",35,0,0.14,0.00,
"Root","BingAnswers.WikiAnswers.GetAnswer(string)","BingAnswers.WikiAnswers.GetAnswer(string)",728,25,2.90,0.10,
"Caller","BingAnswers.WikiAnswers.GetAnswer(string)","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)",728,25,2.90,0.10,
"Callee","BingAnswers.WikiAnswers.GetAnswer(string)","BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)",639,64,2.55,0.26,
"Callee","BingAnswers.WikiAnswers.GetAnswer(string)","BingAnswers.WikiAnswers.sendBingSearchRequest(string)",7,0,0.03,0.00,
"Callee","BingAnswers.WikiAnswers.GetAnswer(string)","JIT_GetGenericsGCStaticBase(class MethodTable *)",37,37,0.15,0.15,
"Callee","BingAnswers.WikiAnswers.GetAnswer(string)","System.Collections.Generic.List`1.GetEnumerator()",1,1,0.00,0.00,
"Callee","BingAnswers.WikiAnswers.GetAnswer(string)","ThreadNative::IsAlive(class ThreadBaseObject *)",19,19,0.08,0.08,
"Root","BingAnswers.WikiAnswers.GetWikiAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","BingAnswers.WikiAnswers.GetWikiAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",35,0,0.14,0.00,
"Caller","BingAnswers.WikiAnswers.GetWikiAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","BingAnswers.WikiAnswers.<>c__DisplayClass3.<ParseSearchResult>b__0()",35,0,0.14,0.00,
"Callee","BingAnswers.WikiAnswers.GetWikiAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","BingAnswers.Util.MakeWebRequestStream(string)",1,0,0.00,0.00,
"Callee","BingAnswers.WikiAnswers.GetWikiAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","HtmlAgilityPack.HtmlDocument.Load(class System.IO.Stream)",32,0,0.13,0.00,
"Callee","BingAnswers.WikiAnswers.GetWikiAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","HtmlAgilityPack.HtmlNode.SelectSingleNode(string)",2,0,0.01,0.00,
"Root","BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)","BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)",640,64,2.55,0.26,
"Caller","BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)","BingAnswers.WikiAnswers.GetAnswer(string)",639,64,2.55,0.26,
"Callee","BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1..ctor()",17,17,0.07,0.07,
"Callee","BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.Add(!0)",99,99,0.39,0.39,
"Callee","BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.Enumerator.Dispose()",1,1,0.00,0.00,
"Callee","BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.Enumerator.get_Current()",7,7,0.03,0.03,
"Callee","BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.Enumerator.MoveNext()",59,59,0.24,0.24,
"Callee","BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.get_Count()",1,1,0.00,0.00,
"Callee","BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.GetEnumerator()",59,59,0.24,0.24,
"Callee","BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)","System.Threading.Thread.get_IsAlive()",331,331,1.32,1.32,
"Callee","BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)","System.Threading.Thread.Start()",1,1,0.00,0.00,
"Callee","BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)","System.Xml.Serialization.XmlSerializer..ctor(class System.Type)",1,1,0.00,0.00,
"Root","BingAnswers.WikiAnswers.sendBingSearchRequest(string)","BingAnswers.WikiAnswers.sendBingSearchRequest(string)",7,0,0.03,0.00,
"Caller","BingAnswers.WikiAnswers.sendBingSearchRequest(string)","BingAnswers.WikiAnswers.GetAnswer(string)",7,0,0.03,0.00,
"Callee","BingAnswers.WikiAnswers.sendBingSearchRequest(string)","BingAnswers.Util.MakeWebRequestStream(string)",7,0,0.03,0.00,
"Root","BingAnswers.WikiHow..ctor()","BingAnswers.WikiHow..ctor()",1,0,0.00,0.00,
"Caller","BingAnswers.WikiHow..ctor()","BingAnswers.Answers.Page_Load(object,class System.EventArgs)",1,0,0.00,0.00,
"Callee","BingAnswers.WikiHow..ctor()","NLog.LogManager.GetCurrentClassLogger()",1,0,0.00,0.00,
"Root","BingAnswers.WikiHow.<>c__DisplayClass3.<ParseSearchResult>b__0()","BingAnswers.WikiHow.<>c__DisplayClass3.<ParseSearchResult>b__0()",80,0,0.32,0.00,
"Callee","BingAnswers.WikiHow.<>c__DisplayClass3.<ParseSearchResult>b__0()","BingAnswers.WikiHow.GetWikihowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",80,0,0.32,0.00,
"Root","BingAnswers.WikiHow.GetAnswer(string)","BingAnswers.WikiHow.GetAnswer(string)","1,103",14,4.40,0.06,
"Caller","BingAnswers.WikiHow.GetAnswer(string)","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","1,103",14,4.40,0.06,
"Callee","BingAnswers.WikiHow.GetAnswer(string)","BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)","1,001",72,3.99,0.29,
"Callee","BingAnswers.WikiHow.GetAnswer(string)","BingAnswers.WikiHow.sendBingSearchRequest(string)",11,0,0.04,0.00,
"Callee","BingAnswers.WikiHow.GetAnswer(string)","JIT_GetGenericsGCStaticBase(class MethodTable *)",51,51,0.20,0.20,
"Callee","BingAnswers.WikiHow.GetAnswer(string)","System.Collections.Generic.List`1.Enumerator.MoveNext()",2,2,0.01,0.01,
"Callee","BingAnswers.WikiHow.GetAnswer(string)","ThreadNative::IsAlive(class ThreadBaseObject *)",24,24,0.10,0.10,
"Root","BingAnswers.WikiHow.GetWikihowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","BingAnswers.WikiHow.GetWikihowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",80,0,0.32,0.00,
"Caller","BingAnswers.WikiHow.GetWikihowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","BingAnswers.WikiHow.<>c__DisplayClass3.<ParseSearchResult>b__0()",80,0,0.32,0.00,
"Callee","BingAnswers.WikiHow.GetWikihowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","BingAnswers.Util.MakeWebRequestStream(string)",1,0,0.00,0.00,
"Callee","BingAnswers.WikiHow.GetWikihowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","HtmlAgilityPack.HtmlDocument.Load(class System.IO.Stream)",76,0,0.30,0.00,
"Callee","BingAnswers.WikiHow.GetWikihowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","HtmlAgilityPack.HtmlNode.SelectNodes(string)",3,0,0.01,0.00,
"Root","BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)","BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)","1,004",72,4.00,0.29,
"Caller","BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)","BingAnswers.WikiHow.GetAnswer(string)","1,001",72,3.99,0.29,
"Callee","BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)","__EH_epilog3",1,1,0.00,0.00,
"Callee","BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)","JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",2,2,0.01,0.01,
"Callee","BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1..ctor()",34,34,0.14,0.14,
"Callee","BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.Add(!0)",151,151,0.60,0.60,
"Callee","BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.Enumerator.Dispose()",2,2,0.01,0.01,
"Callee","BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.Enumerator.get_Current()",6,6,0.02,0.02,
"Callee","BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.Enumerator.MoveNext()",93,93,0.37,0.37,
"Callee","BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.get_Count()",1,1,0.00,0.00,
"Callee","BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)","System.Collections.Generic.List`1.GetEnumerator()",48,48,0.19,0.19,
"Callee","BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)","System.Threading.Thread.get_IsAlive()",590,590,2.35,2.35,
"Callee","BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)","System.Threading.Thread.Start()",1,1,0.00,0.00,
"Callee","BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)","System.Xml.Serialization.XmlSerializer..ctor(class System.Type)",2,2,0.01,0.01,
"Callee","BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)","System.Xml.XmlDocument.Load(class System.IO.Stream)",1,1,0.00,0.00,
"Root","BingAnswers.WikiHow.sendBingSearchRequest(string)","BingAnswers.WikiHow.sendBingSearchRequest(string)",11,0,0.04,0.00,
"Caller","BingAnswers.WikiHow.sendBingSearchRequest(string)","BingAnswers.WikiHow.GetAnswer(string)",11,0,0.04,0.00,
"Callee","BingAnswers.WikiHow.sendBingSearchRequest(string)","BingAnswers.Util.MakeWebRequestStream(string)",11,0,0.04,0.00,
"Root","BingAnswers.WolframeAlpha..ctor()","BingAnswers.WolframeAlpha..ctor()",1,0,0.00,0.00,
"Caller","BingAnswers.WolframeAlpha..ctor()","BingAnswers.Answers.Page_Load(object,class System.EventArgs)",1,0,0.00,0.00,
"Callee","BingAnswers.WolframeAlpha..ctor()","NLog.LogManager.GetCurrentClassLogger()",1,0,0.00,0.00,
"Root","BingAnswers.WolframeAlpha.GetAnswer(string)","BingAnswers.WolframeAlpha.GetAnswer(string)",7,0,0.03,0.00,
"Caller","BingAnswers.WolframeAlpha.GetAnswer(string)","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)",7,0,0.03,0.00,
"Callee","BingAnswers.WolframeAlpha.GetAnswer(string)","BingAnswers.WolframeAlpha.SendRequest(string)",7,0,0.03,0.00,
"Root","BingAnswers.WolframeAlpha.SendRequest(string)","BingAnswers.WolframeAlpha.SendRequest(string)",7,0,0.03,0.00,
"Caller","BingAnswers.WolframeAlpha.SendRequest(string)","BingAnswers.WolframeAlpha.GetAnswer(string)",7,0,0.03,0.00,
"Callee","BingAnswers.WolframeAlpha.SendRequest(string)","BingAnswers.Util.MakeWebRequest(string)",7,0,0.03,0.00,
"Root","BingAnswers.YahooAnswers..ctor()","BingAnswers.YahooAnswers..ctor()",1,0,0.00,0.00,
"Caller","BingAnswers.YahooAnswers..ctor()","BingAnswers.Answers.Page_Load(object,class System.EventArgs)",1,0,0.00,0.00,
"Callee","BingAnswers.YahooAnswers..ctor()","NLog.LogManager.GetCurrentClassLogger()",1,0,0.00,0.00,
"Root","BingAnswers.YahooAnswers.GetAnswer(string)","BingAnswers.YahooAnswers.GetAnswer(string)",9,0,0.04,0.00,
"Caller","BingAnswers.YahooAnswers.GetAnswer(string)","BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)",9,0,0.04,0.00,
"Callee","BingAnswers.YahooAnswers.GetAnswer(string)","BingAnswers.YahooAnswers.ParseQuestionResponse(class System.IO.Stream)",2,0,0.01,0.00,
"Callee","BingAnswers.YahooAnswers.GetAnswer(string)","BingAnswers.YahooAnswers.sendQuestionSearchRequest(string)",7,0,0.03,0.00,
"Root","BingAnswers.YahooAnswers.ParseQuestionResponse(class System.IO.Stream)","BingAnswers.YahooAnswers.ParseQuestionResponse(class System.IO.Stream)",2,0,0.01,0.00,
"Caller","BingAnswers.YahooAnswers.ParseQuestionResponse(class System.IO.Stream)","BingAnswers.YahooAnswers.GetAnswer(string)",2,0,0.01,0.00,
"Callee","BingAnswers.YahooAnswers.ParseQuestionResponse(class System.IO.Stream)","BingAnswers.Ranker.GetFeatures(class BingAnswers.Answer)",1,0,0.00,0.00,
"Callee","BingAnswers.YahooAnswers.ParseQuestionResponse(class System.IO.Stream)","System.Xml.XmlReader.ReadToFollowing(string)",1,1,0.00,0.00,
"Root","BingAnswers.YahooAnswers.sendQuestionSearchRequest(string)","BingAnswers.YahooAnswers.sendQuestionSearchRequest(string)",7,0,0.03,0.00,
"Caller","BingAnswers.YahooAnswers.sendQuestionSearchRequest(string)","BingAnswers.YahooAnswers.GetAnswer(string)",7,0,0.03,0.00,
"Callee","BingAnswers.YahooAnswers.sendQuestionSearchRequest(string)","BingAnswers.YahooAnswers.sendRequest(string)",7,0,0.03,0.00,
"Root","BingAnswers.YahooAnswers.sendRequest(string)","BingAnswers.YahooAnswers.sendRequest(string)",7,0,0.03,0.00,
"Caller","BingAnswers.YahooAnswers.sendRequest(string)","BingAnswers.YahooAnswers.sendQuestionSearchRequest(string)",7,0,0.03,0.00,
"Callee","BingAnswers.YahooAnswers.sendRequest(string)","BingAnswers.Util.MakeWebRequestStream(string)",7,0,0.03,0.00,
"Root","HtmlAgilityPack.HtmlAttribute.get_Name()","HtmlAgilityPack.HtmlAttribute.get_Name()",23,0,0.09,0.00,
"Caller","HtmlAgilityPack.HtmlAttribute.get_Name()","HtmlAgilityPack.HtmlAttributeCollection.Append(class HtmlAgilityPack.HtmlAttribute)",8,0,0.03,0.00,
"Caller","HtmlAgilityPack.HtmlAttribute.get_Name()","HtmlAgilityPack.HtmlNodeNavigator.get_LocalName()",15,0,0.06,0.00,
"Callee","HtmlAgilityPack.HtmlAttribute.get_Name()","System.String.ToLower()",23,23,0.09,0.09,
"Root","HtmlAgilityPack.HtmlAttribute.get_Value()","HtmlAgilityPack.HtmlAttribute.get_Value()",1,0,0.00,0.00,
"Caller","HtmlAgilityPack.HtmlAttribute.get_Value()","HtmlAgilityPack.HtmlNodeNavigator.get_Value()",1,0,0.00,0.00,
"Callee","HtmlAgilityPack.HtmlAttribute.get_Value()","System.String.Substring(int32,int32)",1,1,0.00,0.00,
"Root","HtmlAgilityPack.HtmlAttribute.set_QuoteType(valuetype HtmlAgilityPack.AttributeValueQuote)","HtmlAgilityPack.HtmlAttribute.set_QuoteType(valuetype HtmlAgilityPack.AttributeValueQuote)",1,1,0.00,0.00,
"Caller","HtmlAgilityPack.HtmlAttribute.set_QuoteType(valuetype HtmlAgilityPack.AttributeValueQuote)","HtmlAgilityPack.HtmlDocument.PushAttributeValueStart(int32,int32)",1,1,0.00,0.00,
"Root","HtmlAgilityPack.HtmlAttributeCollection..ctor(class HtmlAgilityPack.HtmlNode)","HtmlAgilityPack.HtmlAttributeCollection..ctor(class HtmlAgilityPack.HtmlNode)",1,0,0.00,0.00,
